Alabama,6625
Alaska,6591
Arizona,5596
Arkansas,6597
California,6611
Colorado,5605
Connecticut,6587
Delaware,6636
DC,6644
Florida,5544
Georgia,5604
Hawaii,6631
Iowa,5603
Idaho,6623
Illinois,6613
Indiana,6572
Kansas,6627
Kentucky,6592
Louisiana,6617
Massachusetts,6596
Maryland,6593
Maine,6571
ME-1,6647
ME-2,6190
Michigan,5545
Minnesota,5597
Missouri,6581
Mississippi,6628
Montana,6606
North Carolina,5599
North Dakota,6637
Nebraska,6624
NE-1,6645
NE-2,6608
NE-3,6646
New Hampshire,5598
New Jersey,6580
New Mexico,6573
Nevada,5601
New York,6612
Ohio,5600
Oklahoma,6616
Oregon,6582
Pennsylvania,5543
Rhode Island,6629
South Carolina,6609
South Dakota,6638
Tennessee,6586
Texas,5798
Utah,6585
Virginia,5602
Vermont,6633
Washington,6598
Wisconsin,5542
West Virginia,6615
Wyoming,6632